id,nom,prenom,telephone,reseaux_social,latitude,longitude,import_file_id
1,WALID,HICHAM ,660078491,W H W RESTAURANT ,35.749751,-5.843494,
2,STOK ,MOHAMED,624183201,SOMBARA ,35.754216,-5.853046,
3,AGHMIRI,AHMED,666099770,VICCIO AFRIQUIA (MARJAN),35.744915,-5.845081,
4,PIZZERIA ,SWEEDEN ,0659-761677,PIZZERIA SWEEDEN ,35.773240,-5.812227,
6,HASSAN ,GONDOLA,610281535,GONDOLA 2,35.779418,-5.811837,
7,MALHI,ABDELALI ,688635735,ORIGINAL TACOS,35.778666,-5.809595,
8,SI ,HAMID,661384044,LA CASA DELLA PIZZA,35.777001,-5.808904,
9,Si ,SAMIR ,664295057,FRANCE MARINA FOOD 2 ,35.777552,-5.807486,
10,TARIK, LEBOULEVARD ,662152046,BOULANGERIE PÂTISSERIE LE BOULEVARD ,35.777614,-5.806192,
11,ALi,Ali baba ,618476099,ALI BABA,35.780230,-5.804542,
16,Si ,SAMIR,664295057,ARINA FRANCE 1 FOOD,35.780306,-5.804701,
17,YASSIN,Noor ,641461911,RESTAURANT NOUR ,35.775936,-5.798700,
18,SI ,ABDELKADER ,6614316021,LA RUCHE ,35.776367,-5.796129,
20,SI ,ANOUAR,606039527,INFINITY LOUNGE ,35.775937,-5.795367,
21,SI,ABDENNOUR,679091774,RESTAU ANNAJMA 1,35.774788,-5.795502,
22,ZAHIR,NADIR,673361338,VICIO MALABATA ,35.784504,-5.761338,
23,X,CRÈMERIE ,770567934,LECHIERA ELBARAKA ,35.771892,-5.797424,
24,Si ,MOHAMED,627847302,CAFE MLY ISMAIL,35.766884,-5.808422,
25,Si ,AHMED ,670834770,CAFE LA PETITE PALM ,35.758662,-5.823241,
29,EL AMERANI,AMAL,698075649,STATION IBN BATOUTTA,35.736194,-5.862946,
30,MME,RYM,600324189,HOTEL MIRANDA,35.715280,-5.906093,
31,ZEROUK,SANAA,61539988,HOTEL SENATOR ,35.715096,-5.904285,
32,SI ,ZAID,671383354,CAFE ELITE ICE,35.787296,-5.864815,
33,Mme,LHAJA,664772359,CAFE RMILTA,35.787296,-5.864815,
38,ABU ,SOUFIAN,669155087,L'AQUARINE BLUE ,35.772033,-5.831495,
39,EL AABOUTI,MOHAMED,616711192,RESTAU HAYAT ALLAH ,35.754283,-5.853189,
40,SI,DRISS,693943903,SNACK MERYEM ,35.749333,-5.847431,
41,TACOS,CITY,691140251,TACOS BURGER CITY ,35.744938,-5.843263,
42,AKTAW,JAMAL,661998089,OMEGA 3 ,35.759279,-5.837631,
